eventId,eventUid,eventName,eventCategory,eventLocation,clubId,clubLogin,clubName,eventAttendees,eventPriceRange,eventButtonLabel,eventBadges,totalTicketsSoldValue,checkbox_id,displayType,registered,waiting_list,eventTags,coHostId,custom_time_instruction,checkin,registrationStatus,printTicket,eventTimezone,ariaEventDetails,ariaEventDetailsWithLocation,parentEventIds,all_results_hidden,hybrid,dayofweek,month,day,year,time,eventDates,hour
300368144,a564e3f3f56cb3cc5f952a17116f0353,Tickets for contemporary dance show 'TRAJAL HARRELL & SCHAUSPIELHAUS ZÜRICH DANCE ENSEMBLE «KÖLN CONCERT» at Conde Duque,Off Campus,"Centro de Cultura Contemporánea Conde Duque (c. de Conde Duque 11, 28015, Madrid)",300002145.0,humanities,IE School of Humanities,12.0,FREE,Register,Off CampusArts & humanities,0.00,300368144.0,event,Unknown,,Off CampusArts & humanities,0,Unknown,0.4375,Waiting List,Unknown,(GMT+1),"Tickets for contemporary dance show ’TRAJAL HARRELL and SCHAUSPIELHAUS ZÜRICH DANCE ENSEMBLE «KÖLN CONCERT» at Conde Duque. Saturday, 24 February 2024 At 8:00 PM, (GMT+1).","Tickets for contemporary dance show ’TRAJAL HARRELL and SCHAUSPIELHAUS ZÜRICH DANCE ENSEMBLE «KÖLN CONCERT» at Conde Duque. Saturday, 24 February 2024 At 8:00 PM, (GMT+1). Centro de Cultura Contemporánea Conde Duque ( c. de Conde Duque 11, 28015, Madrid ) .",Unknown,,Unknown,Sat,Feb,24.0,2024.0,8 PM – 10 PM,Unknown,20.0
300367873,9de91104ee5fb18e4f440bcd9495b02b,Weekly Running Practices,Hybrid,Private Location (register to display),300002813.0,ierunners,IE Runners Club MIX,0.0,FREE,Register,HybridAthletic CenterSportsWellness / wellbeing - Mental We...Wellness / wellbeing - Physical ...,0.00,300367873.0,event,Unknown,,HybridAthletic CenterSportsWellness / wellbeing - Mental We...Wellness / wellbeing - Physical ...,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Weekly Running Practices. Saturday, 24 February 2024 At 7:00 PM, (GMT+1).","Weekly Running Practices. Saturday, 24 February 2024 At 7:00 PM, (GMT+1). Private Location ( register to display ) .",Unknown,,Unknown,Sat,Feb,24.0,2024.0,7 PM – 11:30 AM,Unknown,19.0
300316787,2a9807915a7dabbc3f65b588649de81c,Saturday Weekly Running Practices,Off Campus,Private Location (register to display),300002813.0,ierunners,IE Runners Club MIX,27.0,FREE,Register,Off CampusAthletic CenterOutdoor activitiesSportsWellness / wellbeing - Mental We...Wellness / wellbeing - Physical ...,0.00,300316787.0,event,Unknown,,Off CampusAthletic CenterOutdoor activitiesSportsWellness / wellbeing - Mental We...Wellness / wellbeing - Physical ...,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Saturday Weekly Running Practices. Saturday, 24 February 2024 At 10:30 AM, (GMT+1).","Saturday Weekly Running Practices. Saturday, 24 February 2024 At 10:30 AM, (GMT+1). Private Location ( register to display ) .",Weekly Running Practices,,Unknown,Sat,Feb,24.0,2024.0,10:30 AM – 11:30 AM,Unknown,10.5
300368022,7577703fb9dd0624e98b91d46d28cac6,THEATRE REHEARSAL - Act 2 Scene 2,On Campus,"IE TOWER, Piano Lounge",200000032.0,ietheatre,IE Theatre Production,7.0,FREE,Register,On Campus,0.00,300368022.0,event,Unknown,,On Campus,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"THEATRE REHEARSAL - Act 2 Scene 2. Saturday, 24 February 2024 At 10:30 AM, (GMT+1).","THEATRE REHEARSAL - Act 2 Scene 2. Saturday, 24 February 2024 At 10:30 AM, (GMT+1). IE TOWER, Piano Lounge.",Unknown,,Unknown,Sat,Feb,24.0,2024.0,10:30 AM – 2 PM,Unknown,10.5
300368019,fca36e0ded3f2a8e493b3576ad802587,Hike to Rascafría and Guided Tour of the Monasterio del Paular,Off Campus,TBD,300002116.0,ieaexp,IExplore,18.0,€12,Register,Off CampusArchitecture / Urbanism / DesignCultureSportsWell-being,216.00,300368019.0,event,Unknown,,Off CampusArchitecture / Urbanism / DesignCultureSportsWell-being,IE History & Archaeology Club,Unknown,0.4375,Waiting List,Unknown,(GMT+1),"Hike to Rascafría and Guided Tour of the Monasterio del Paular. Saturday, 24 February 2024 At 8:45 AM, (GMT+1).","Hike to Rascafría and Guided Tour of the Monasterio del Paular. Saturday, 24 February 2024 At 8:45 AM, (GMT+1). TBD.",Unknown,,Unknown,Sat,Feb,24.0,2024.0,8:45 AM – 6:30 PM,Unknown,8.75
300367263,a60429fcda4b4762486e92443a5091cd,IE FUN FOOTBALL LEAGUE,Off Campus,Colegio Valdeluz Vicente del Bosque facilities,200000114.0,iefootball,IE Football Club,25.0,FREE,Register,Off CampusOutdoor activitiesParticipant-CenteredSportsWell-beingWellness / wellbeing - Physical ...,0.00,300367263.0,event,Unknown,,Off CampusOutdoor activitiesParticipant-CenteredSportsWell-beingWellness / wellbeing - Physical ...,0,Unknown,0.4375,35 Spots Left,Unknown,(GMT+1),"IE FUN FOOTBALL LEAGUE. Friday, 23 February 2024 At 8:30 PM, (GMT+1).","IE FUN FOOTBALL LEAGUE. Friday, 23 February 2024 At 8:30 PM, (GMT+1). Colegio Valdeluz Vicente del Bosque facilities.",Unknown,,Unknown,Fri,Feb,23.0,2024.0,8:30 PM – 10 PM,Unknown,20.5
300368087,d528ec58f8383bd4271cbd8603f752a9,Tickets to Classical Music Concert 'Sinfónico V' by ORCAM at the Auditorio Nacional de Música,Off Campus,"Auditorio Nacional de Música (C/ Príncipe de Vergara 146, 28002 Madrid)",300002145.0,humanities,IE School of Humanities,10.0,FREE,Register,Off CampusArts & humanities,0.00,300368087.0,event,Unknown,,Off CampusArts & humanities,0,Unknown,0.4375,Waiting List,Unknown,(GMT+1),"Tickets to Classical Music Concert ’Sinfónico V’ by ORCAM at the Auditorio Nacional de Música. Friday, 23 February 2024 At 7:30 PM, (GMT+1).","Tickets to Classical Music Concert ’Sinfónico V’ by ORCAM at the Auditorio Nacional de Música. Friday, 23 February 2024 At 7:30 PM, (GMT+1). Auditorio Nacional de Música ( C slash Príncipe de Vergara 146, 28002 Madrid ) .",Unknown,,Unknown,Fri,Feb,23.0,2024.0,7:30 PM – 9:30 PM,Unknown,19.5
300367494,eb1c4f409c95c546ee4c11795511d89c,Intro to Quantitative Finance with the Black Scholes model,On Campus,"CAMPUS SEGOVIA, Room: SG-136 Zoom link",300003074.0,ieMathSC,IE Math Club MIX,27.0,FREE,Register,On CampusFinance / Investing / Insurance ...,0.00,300367494.0,event,Unknown,,On CampusFinance / Investing / Insurance ...,IE Finance and Capital Markets Club,Unknown,0.4375,23 Spots Left,Unknown,(GMT+1),"Intro to Quantitative Finance with the Black Scholes model. Friday, 23 February 2024 At 6:30 PM, (GMT+1).","Intro to Quantitative Finance with the Black Scholes model. Friday, 23 February 2024 At 6:30 PM, (GMT+1). CAMPUS SEGOVIA, Room: SG-136.",Unknown,,hybrid,Fri,Feb,23.0,2024.0,6:30 PM – 8 PM,Unknown,18.5
300367420,bbbc549a00878b7aa5d2b8e09f25e990,Sunset hike and movie night,Off Campus,Segovia hills and Creativity Centre,300010577.0,hikingClub,IE Hiking Club SC,41.0,FREE,Register,Off CampusCreativity CenterOutdoor activitiesWell-being,0.00,300367420.0,event,Unknown,,Off CampusCreativity CenterOutdoor activitiesWell-being,"IE Film Club SC, IE Creativity Center , Sports & Well-Being",Unknown,0.4375,Unknown,Unknown,(GMT+1),"Sunset hike and movie night. Friday, 23 February 2024 At 6:00 PM, (GMT+1).","Sunset hike and movie night. Friday, 23 February 2024 At 6:00 PM, (GMT+1). Segovia hills and Creativity Centre.",Unknown,,Unknown,Fri,Feb,23.0,2024.0,6 PM – 9 PM,Unknown,18.0
300367794,1011e1f3e057fb189095b2bfe3b07088,Friday Sparing Session,Off Campus,"Bekdoosan Gymnasio, C. Sta. Catalina, 13, 15, 40003 Segovia",300003008.0,IEBoxing,IE Boxing Club,3.0,FREE,Register,Off CampusOtherSports,0.00,300367794.0,event,Unknown,,Off CampusOtherSports,Sports & Well-Being,Unknown,0.4375,7 Spots Left,Unknown,(GMT+1),"Friday Sparing Session. Friday, 23 February 2024 At 3:30 PM, (GMT+1).","Friday Sparing Session. Friday, 23 February 2024 At 3:30 PM, (GMT+1). Bekdoosan Gymnasio, C. Sta. Catalina, 13, 15, 40003 Segovia.",Unknown,,Unknown,Fri,Feb,23.0,2024.0,3:30 PM – 4:30 PM,Unknown,15.5
